utterance_id,speaker_id,speaker_name,gender,nationality,original_set,event_id,file_path,split
utt_000001,id10002,A.R._Rahman,m,India,dev,0_laIeN-Q44,id10002/0_laIeN-Q44/00001.wav,test
utt_000002,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00001.wav,test
utt_000003,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00002.wav,test
utt_000004,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00003.wav,test
utt_000005,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00004.wav,test
utt_000006,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00005.wav,test
utt_000007,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00006.wav,test
utt_000008,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00007.wav,test
utt_000009,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00008.wav,test
utt_000010,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00009.wav,test
utt_000011,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00010.wav,test
utt_000012,id10002,A.R._Rahman,m,India,dev,6WO410QOeuo,id10002/6WO410QOeuo/00011.wav,test
utt_000013,id10002,A.R._Rahman,m,India,dev,C7k7C-PDvAA,id10002/C7k7C-PDvAA/00001.wav,test
utt_000014,id10002,A.R._Rahman,m,India,dev,C7k7C-PDvAA,id10002/C7k7C-PDvAA/00002.wav,test
utt_000015,id10002,A.R._Rahman,m,India,dev,cMGEuZ1zqXk,id10002/cMGEuZ1zqXk/00001.wav,test
utt_000016,id10002,A.R._Rahman,m,India,dev,cMGEuZ1zqXk,id10002/cMGEuZ1zqXk/00002.wav,test
