pair_id,file_a,file_b,utterance_id_a,utterance_id_b,label,similarity,status,error
calibration_000001,id10852/fRGTY9Zed8I/00014.wav,id10912/Yf93Q8L4xhs/00015.wav,utt_002043,utt_002515,0,0.8892830014228821,success,
calibration_000002,id11130/3OERtMNQ0Is/00003.wav,id11130/Zgl6gxMr9x0/00012.wav,utt_004226,utt_004443,1,0.9602186679840088,success,
calibration_000003,id11100/I3_NJyP6jp0/00018.wav,id11100/xs7wQ9wxtZ0/00007.wav,utt_004109,utt_004174,1,0.9378013610839844,success,
calibration_000004,id10852/XgXbHX3_xIA/00002.wav,id10852/bezBfE_aCrI/00002.wav,utt_002169,utt_002018,1,0.9651381969451904,success,
calibration_000005,id10956/M2k_enZdWu4/00003.wav,id11100/XjoJ20n9u2M/00003.wav,utt_003332,utt_004166,0,0.8707458972930908,success,
calibration_000006,id10393/sV_ohWbzzQg/00004.wav,id10393/zGDrufd0E7U/00001.wav,utt_001374,utt_001446,1,0.9333997964859009,success,
calibration_000007,id10017/8rp9UYZp-zA/00013.wav,id11136/ydUt9GgHa9Q/00006.wav,utt_000335,utt_004499,0,0.9048078060150146,success,
calibration_000008,id10912/VeqfQfXAwRY/00001.wav,id10912/WKkZvGACy8w/00001.wav,utt_002433,utt_002470,1,0.9692069888114929,success,
calibration_000009,id10724/e-vuV1-N97Q/00001.wav,id10724/xS_Mh-DOAI0/00007.wav,utt_001891,utt_001945,1,0.9555352926254272,success,
calibration_000010,id10017/CYb_opUpiw4/00010.wav,id10017/bNNIcOJGy4w/00001.wav,utt_000372,utt_000341,1,0.9571528434753418,success,
calibration_000011,id10956/RsUKqz-Ng84/00001.wav,id10956/lR3HvDI2qvw/00003.wav,utt_003447,utt_003318,1,0.9510331153869629,success,
calibration_000012,id10912/vvLu_7TpP8c/00017.wav,id11100/Yp4Tnl9Ob9Y/00022.wav,utt_002450,utt_004201,0,0.9294536709785461,success,
calibration_000013,id10956/5ipwzaOLhPQ/00003.wav,id10956/RFfFOkaYMTU/00012.wav,utt_003245,utt_003446,1,0.9499308466911316,success,
